Date,Time,Location,Vehicle_Type,Avg_Speed_kmph,Congestion_Level_pct,Weather
2023-04-26,07:15,Harbor Blvd,Car,23.7,60.5,Clear
2023-06-08,12:30,Harbor Blvd,Car,19.9,55.3,Clear
2023-04-16,01:30,Harbor Blvd,Car,31.4,29.9,Clear
2023-07-26,16:30,Harbor Blvd,Car,26.6,39.5,Clear
2023-03-19,01:30,Harbor Blvd,Bus,24.5,9.1,Clear
2023-02-21,22:30,Station Road,Truck,18.6,57.2,Cloudy
2023-12-24,20:15,Central Ave,Car,33.1,28.6,Clear
2023-05-27,11:15,Old Town,Bus,18.2,54.6,Clear
2023-12-15,16:30,Industrial Zone,Bus,20.2,45.1,Cloudy
2023-07-25,12:45,North Junction,Truck,11.3,61.1,Cloudy
2023-12-03,04:30,South Park,Car,43.5,8.6,Clear
2023-03-19,02:45,Central Ave,Car,31.1,39.5,Clear
2023-02-07,00:30,Riverside,Motorbike,37.7,39.5,Rain
2023-03-19,05:30,Riverside,Car,39.2,11.9,Clear
2023-09-23,03:15,Central Ave,Car,41.8,17.5,Clear
2023-10-21,12:15,University Rd,Car,22.5,44.5,Cloudy
2023-04-21,09:15,Harbor Blvd,Motorbike,22.8,61.8,Clear
2023-10-19,04:15,Central Ave,Truck,24.6,33.6,Clear
2023-12-22,15:45,Riverside,Motorbike,24.6,59.1,Clear
2023-03-03,14:45,University Rd,Car,35.0,29.8,Rain
2023-06-06,17:00,North Junction,Car,8.9,100.0,Clear
2023-03-16,00:30,Station Road,Bicycle,14.4,47.2,Rain
2023-09-22,21:15,Station Road,Bus,28.6,29.3,Clear
2023-02-17,14:45,North Junction,Motorbike,32.9,41.7,Fog
2023-04-25,13:45,North Junction,Truck,20.7,34.4,Clear
2023-07-28,02:15,North Junction,Truck,22.6,42.5,Clear
2023-11-19,22:30,University Rd,Car,33.2,20.7,Cloudy
2023-07-23,15:45,North Junction,Car,25.0,56.6,Clear
2023-02-11,02:45,Harbor Blvd,Motorbike,35.3,29.8,Cloudy
2023-03-04,04:00,University Rd,Auto-Rickshaw,20.0,21.3,Clear
2023-07-04,13:00,Station Road,Motorbike,42.5,32.3,Cloudy
2023-10-30,17:15,Riverside,Car,17.8,80.5,Cloudy
2023-08-04,20:30,South Park,Motorbike,35.1,37.1,Fog
2023-02-07,18:15,Central Ave,Car,31.0,39.3,Clear
2023-08-11,23:45,Station Road,Auto-Rickshaw,19.9,31.6,Clear
2023-04-28,03:45,South Park,Car,34.1,21.5,Clear
2023-01-12,21:00,Industrial Zone,Motorbike,48.8,5.4,Clear
2023-07-05,20:00,Market Street,Car,32.4,26.8,Clear
2023-07-11,19:45,Harbor Blvd,Motorbike,19.7,79.5,Clear
2023-11-21,01:30,Riverside,Bus,26.3,20.1,Clear
2023-11-18,19:45,Station Road,Motorbike,23.7,43.8,Clear
2023-09-20,19:15,University Rd,Motorbike,25.5,53.3,Clear
2023-04-29,16:30,Industrial Zone,Motorbike,26.5,43.4,Cloudy
2023-10-11,22:00,Harbor Blvd,Auto-Rickshaw,29.1,7.2,Clear
2023-11-29,03:30,Harbor Blvd,Bus,27.5,23.4,Fog
2023-04-14,11:45,Central Ave,Motorbike,26.4,51.2,Rain
2023-02-12,11:00,South Park,Car,40.4,15.3,Rain
2023-02-07,06:15,University Rd,Car,43.6,2.6,Rain
2023-11-22,10:00,Old Town,Motorbike,35.1,40.0,Cloudy
2023-04-22,02:30,Industrial Zone,Auto-Rickshaw,15.2,50.4,Cloudy
2023-07-18,20:30,North Junction,Motorbike,43.7,29.2,Clear
2023-07-01,01:30,Market Street,Truck,20.2,30.1,Rain
2023-01-08,01:45,Station Road,Auto-Rickshaw,21.0,26.7,Clear
2023-01-27,08:45,North Junction,Bus,6.2,87.0,Clear
2023-10-30,16:30,University Rd,Car,26.1,56.0,Rain
2023-02-08,20:15,Harbor Blvd,Car,45.2,8.7,Cloudy
2023-09-19,19:45,Station Road,Car,24.8,56.8,Clear
2023-08-13,12:00,Industrial Zone,Bus,26.5,27.2,Clear
2023-02-17,19:30,Industrial Zone,Car,20.1,62.1,Clear
2023-10-31,16:30,South Park,Car,35.5,24.6,Cloudy
2023-07-01,12:30,South Park,Car,20.5,62.0,Fog
2023-11-01,02:30,University Rd,Auto-Rickshaw,18.2,33.9,Clear
2023-05-03,10:00,Riverside,Motorbike,38.6,23.3,Cloudy
2023-04-18,14:30,University Rd,Car,32.8,32.6,Clear
2023-05-15,06:45,Harbor Blvd,Car,38.7,20.6,Cloudy
2023-02-24,04:45,Station Road,Car,41.7,14.8,Clear
2023-02-15,20:15,Harbor Blvd,Bus,20.4,21.1,Rain
2023-08-12,19:00,Harbor Blvd,Bus,21.5,26.3,Clear
2023-06-29,16:15,North Junction,Auto-Rickshaw,4.3,82.7,Rain
2023-06-08,02:00,Central Ave,Motorbike,36.1,25.2,Fog
2023-12-03,04:00,Industrial Zone,Motorbike,39.6,16.9,Cloudy
2023-03-28,22:15,South Park,Truck,28.8,6.7,Cloudy
2023-04-11,13:45,South Park,Bus,19.2,34.7,Clear
2023-03-23,16:45,Market Street,Car,29.7,63.2,Clear
2023-05-06,02:00,Riverside,Car,38.7,29.4,Rain
2023-02-14,02:15,Market Street,Car,41.1,26.0,Clear
2023-02-09,00:45,Market Street,Bus,25.0,8.8,Clear
2023-03-02,23:15,Old Town,Bicycle,20.0,35.7,Clear
2023-02-17,11:30,South Park,Car,27.3,43.6,Clear
2023-12-13,10:15,Riverside,Car,34.8,38.7,Clear
2023-11-10,07:45,Industrial Zone,Bus,9.4,65.0,Clear
2023-10-21,06:30,Riverside,Car,38.6,22.3,Clear
2023-06-17,12:45,Harbor Blvd,Bicycle,15.2,42.8,Clear
2023-05-16,00:00,South Park,Car,33.1,40.3,Cloudy
2023-01-24,01:45,North Junction,Car,30.0,39.9,Cloudy
2023-01-05,02:30,Central Ave,Bus,15.4,39.2,Clear
2023-03-03,16:00,Central Ave,Motorbike,34.8,39.3,Clear
2023-09-03,14:15,Industrial Zone,Car,31.4,30.3,Cloudy
2023-12-06,19:00,Market Street,Motorbike,27.3,48.1,Cloudy
2023-10-01,04:45,Industrial Zone,Bus,26.8,5.3,Cloudy
2023-08-16,09:00,North Junction,Motorbike,29.7,53.3,Clear
2023-01-21,07:30,Harbor Blvd,Motorbike,28.9,47.0,Cloudy
2023-01-09,00:00,Old Town,Car,40.3,16.2,Clear
2023-07-12,00:30,South Park,Car,26.3,34.6,Clear
2023-10-14,14:30,Central Ave,Car,28.4,47.2,Rain
2023-12-03,11:45,Riverside,Car,29.4,33.0,Clear
2023-07-28,20:30,University Rd,Auto-Rickshaw,18.1,42.6,Clear
2023-08-31,06:00,Industrial Zone,Car,36.5,24.3,Rain
2023-08-21,00:30,Harbor Blvd,Bus,20.7,32.8,Clear
2023-11-07,12:00,Riverside,Car,27.3,34.6,Clear
2023-02-22,07:30,Central Ave,Auto-Rickshaw,12.5,70.3,Clear
2023-05-15,08:00,Market Street,Truck,12.7,79.7,Clear
2023-05-11,07:00,Old Town,Car,19.7,64.4,Cloudy
2023-02-02,11:00,Harbor Blvd,Bus,22.9,12.3,Cloudy
2023-03-23,03:15,Riverside,Bus,26.0,27.5,Rain
2023-08-29,18:00,Old Town,Auto-Rickshaw,5.1,70.4,Clear
2023-12-03,02:00,North Junction,Auto-Rickshaw,18.8,31.3,Clear
2023-08-11,23:15,Old Town,Motorbike,31.2,28.0,Cloudy
2023-03-05,19:45,Harbor Blvd,Car,19.2,64.0,Clear
2023-09-03,10:00,University Rd,Motorbike,37.9,34.0,Clear
2023-06-03,02:45,Harbor Blvd,Car,30.7,38.5,Clear
2023-08-24,11:45,Old Town,Car,23.1,51.0,Rain
2023-10-23,16:45,Industrial Zone,Truck,27.9,11.9,Clear
2023-07-14,16:30,Industrial Zone,Car,28.1,50.5,Clear
2023-06-06,22:30,Industrial Zone,Auto-Rickshaw,19.6,32.2,Rain
2023-04-05,00:30,Old Town,Motorbike,34.9,30.1,Clear
2023-04-20,23:45,Riverside,Auto-Rickshaw,19.4,13.5,Cloudy
2023-08-12,08:45,Central Ave,Motorbike,14.5,87.5,Clear
2023-09-27,15:00,Station Road,Car,20.0,47.8,Rain
2023-01-25,02:30,Industrial Zone,Car,44.8,10.9,Rain
2023-05-23,18:45,North Junction,Car,21.7,62.7,Clear
2023-09-15,16:15,Station Road,Bus,14.1,67.7,Stormy
2023-06-16,19:00,Old Town,Auto-Rickshaw,11.3,61.8,Clear
2023-04-03,04:00,Market Street,Motorbike,31.1,44.7,Clear
2023-11-17,01:00,Old Town,Motorbike,46.9,10.5,Cloudy
2023-03-19,21:00,University Rd,Bicycle,18.5,25.0,Clear
2023-08-25,22:45,Harbor Blvd,Motorbike,41.9,20.5,Cloudy
2023-02-21,23:45,North Junction,Motorbike,27.4,46.6,Cloudy
2023-04-18,11:45,North Junction,Car,23.5,57.3,Clear
2023-04-12,19:15,Central Ave,Car,4.1,100.0,Rain
2023-08-02,01:00,Station Road,Truck,26.5,27.0,Clear
2023-11-30,14:45,Market Street,Car,29.9,41.8,Clear
2023-02-25,10:00,University Rd,Car,27.1,44.4,Clear
2023-11-11,03:15,Station Road,Car,17.3,60.1,Cloudy
2023-11-12,13:30,Riverside,Auto-Rickshaw,17.2,20.2,Clear
2023-04-15,17:45,South Park,Car,24.6,54.2,Clear
2023-07-25,01:45,Old Town,Car,34.2,30.7,Clear
2023-11-05,19:30,Market Street,Motorbike,34.0,42.1,Clear
2023-11-24,08:15,South Park,Motorbike,15.1,84.8,Fog
2023-03-04,10:45,South Park,Motorbike,37.4,23.8,Clear
2023-10-20,04:15,University Rd,Truck,31.3,18.0,Rain
2023-04-28,09:00,Central Ave,Truck,10.9,76.2,Rain
2023-07-07,11:45,Market Street,Car,22.3,48.3,Cloudy
2023-10-08,18:30,University Rd,Motorbike,34.5,41.4,Clear
2023-08-29,03:30,North Junction,Motorbike,30.2,44.9,Clear
2023-07-08,18:45,University Rd,Motorbike,21.2,67.1,Rain
2023-05-16,20:00,South Park,Auto-Rickshaw,19.5,34.4,Clear
2023-07-07,08:15,Industrial Zone,Truck,24.8,46.6,Cloudy
2023-06-24,13:00,Riverside,Motorbike,36.7,34.8,Cloudy
2023-12-04,22:00,Riverside,Car,35.2,23.5,Cloudy
2023-05-27,21:00,Old Town,Car,32.7,29.6,Rain
2023-07-04,22:30,Old Town,Car,40.5,21.6,Clear
2023-07-01,05:00,Old Town,Bicycle,13.1,26.5,Cloudy
2023-05-09,10:30,Central Ave,Car,21.6,66.7,Clear
2023-05-24,02:00,Central Ave,Bus,25.6,17.5,Clear
2023-10-20,16:30,Industrial Zone,Car,23.1,54.9,Clear
2023-07-21,21:30,Market Street,Bus,21.2,19.7,Cloudy
2023-06-15,23:45,North Junction,Truck,19.1,43.0,Clear
2023-12-13,14:45,Central Ave,Auto-Rickshaw,20.1,39.6,Clear
2023-02-17,10:30,Industrial Zone,Car,27.5,30.6,Cloudy
2023-04-28,18:15,Riverside,Auto-Rickshaw,7.8,74.8,Clear
2023-06-22,11:45,Market Street,Auto-Rickshaw,9.2,65.7,Clear
2023-04-21,01:15,South Park,Motorbike,41.4,18.8,Fog
2023-03-05,22:00,Riverside,Bus,25.0,27.6,Clear
2023-09-03,07:15,Industrial Zone,Auto-Rickshaw,12.0,65.7,Clear
2023-08-18,08:00,Old Town,Car,20.8,63.9,Clear
2023-11-26,04:30,Harbor Blvd,Car,40.9,20.9,Rain
2023-05-06,22:45,Riverside,Car,36.8,17.6,Clear
2023-11-28,20:15,Riverside,Car,29.8,28.0,Rain
2023-11-13,04:15,Riverside,Motorbike,44.0,15.6,Clear
2023-08-14,08:15,Riverside,Car,24.6,56.1,Rain
2023-06-19,18:30,University Rd,Bicycle,3.9,75.6,Clear
2023-08-15,19:30,Harbor Blvd,Car,33.1,33.6,Cloudy
2023-12-14,00:00,Riverside,Car,23.1,42.5,Clear
2023-06-24,03:45,North Junction,Truck,23.3,24.3,Rain
2023-05-28,02:15,Harbor Blvd,Auto-Rickshaw,27.5,5.3,Clear
2023-02-23,22:45,Harbor Blvd,Motorbike,37.7,23.4,Clear
2023-02-27,17:15,Harbor Blvd,Truck,21.1,53.4,Clear
2023-05-08,16:45,North Junction,Motorbike,37.2,36.5,Clear
2023-11-07,14:45,Central Ave,Bus,13.8,40.2,Cloudy
2023-09-07,11:30,Market Street,Bus,20.7,24.0,Cloudy
2023-01-05,01:45,Station Road,Car,31.7,25.5,Rain
2023-03-09,23:00,Station Road,Auto-Rickshaw,24.2,29.9,Stormy
2023-03-21,11:45,Market Street,Car,27.0,44.0,Rain
2023-05-11,15:00,University Rd,Bus,26.1,19.1,Clear
2023-03-10,04:45,Old Town,Bus,24.8,23.8,Cloudy
2023-02-19,04:45,South Park,Motorbike,36.9,34.9,Cloudy
2023-05-09,07:45,Station Road,Car,10.4,72.2,Clear
2023-11-09,02:15,University Rd,Motorbike,48.3,6.2,Cloudy
2023-01-25,15:00,Riverside,Car,30.0,38.3,Cloudy
2023-09-05,07:00,North Junction,Bus,18.5,53.5,Cloudy
2023-10-19,15:15,Central Ave,Motorbike,45.3,25.8,Cloudy
2023-01-09,01:15,University Rd,Motorbike,39.6,22.0,Clear
2023-03-31,04:45,Harbor Blvd,Bus,19.6,36.6,Clear
2023-05-28,10:15,Station Road,Car,21.5,56.9,Clear
2023-11-29,09:30,Industrial Zone,Truck,12.5,52.1,Clear
2023-10-08,12:30,Market Street,Car,14.8,75.3,Rain
2023-09-26,02:00,Old Town,Bicycle,16.9,14.4,Clear
2023-10-16,03:00,Harbor Blvd,Auto-Rickshaw,16.8,35.5,Clear
2023-09-23,17:45,Central Ave,Bus,6.1,93.3,Clear
2023-03-30,18:00,Station Road,Auto-Rickshaw,12.6,73.0,Cloudy
2023-11-21,20:00,North Junction,Motorbike,49.1,9.8,Clear
2023-07-10,01:00,South Park,Motorbike,38.3,26.4,Cloudy
2023-11-12,18:30,North Junction,Car,36.3,31.4,Cloudy
2023-04-23,21:15,North Junction,Car,42.6,19.8,Clear
2023-05-14,22:30,North Junction,Car,38.0,14.7,Clear
2023-05-18,08:00,South Park,Car,32.6,34.4,Clear
2023-10-05,20:00,Harbor Blvd,Car,29.1,34.5,Rain
2023-12-08,06:00,Old Town,Bicycle,14.2,31.2,Clear
2023-02-18,08:45,South Park,Motorbike,25.6,67.2,Clear
2023-03-04,22:15,Industrial Zone,Bus,22.6,14.2,Clear
2023-09-27,13:45,University Rd,Car,29.8,52.1,Cloudy
2023-10-11,11:30,South Park,Car,25.4,60.9,Rain
2023-08-30,06:15,South Park,Bus,24.2,27.8,Fog
2023-08-16,12:00,Harbor Blvd,Car,33.0,35.3,Cloudy
2023-12-04,17:45,Harbor Blvd,Motorbike,26.9,58.0,Rain
2023-01-18,22:00,South Park,Motorbike,37.2,20.7,Cloudy
2023-05-07,07:00,South Park,Car,19.9,82.7,Cloudy
2023-11-15,01:00,Station Road,Car,30.9,24.2,Clear
2023-12-20,22:15,Harbor Blvd,Truck,20.0,43.6,Fog
2023-06-21,16:00,Riverside,Motorbike,39.5,25.7,Clear
2023-02-24,20:15,North Junction,Car,31.7,44.1,Clear
2023-02-12,09:15,University Rd,Motorbike,39.2,32.7,Clear
2023-09-18,18:30,Station Road,Car,15.6,71.3,Clear
2023-03-18,08:00,Station Road,Car,21.1,59.7,Clear
2023-01-12,23:45,Station Road,Bicycle,15.6,22.8,Cloudy
2023-10-08,18:00,Riverside,Car,25.0,54.8,Clear
2023-06-07,14:30,North Junction,Car,21.1,69.2,Clear
2023-01-26,01:30,Old Town,Motorbike,41.2,20.6,Clear
2023-04-21,08:15,North Junction,Motorbike,37.3,26.1,Clear
2023-09-09,12:30,Industrial Zone,Car,27.4,44.6,Clear
2023-07-25,10:15,Station Road,Bus,24.8,30.7,Clear
2023-11-27,23:00,Industrial Zone,Auto-Rickshaw,19.1,13.9,Clear
2023-10-03,19:15,Industrial Zone,Bus,9.0,72.7,Clear
2023-09-05,14:45,Harbor Blvd,Motorbike,40.7,24.1,Clear
2023-11-21,08:45,Riverside,Car,28.8,50.3,Rain
2023-12-21,14:30,South Park,Car,39.9,0.0,Clear
2023-07-01,22:15,South Park,Car,35.1,22.0,Clear
2023-10-14,07:00,Old Town,Car,15.2,79.3,Fog
2023-05-17,07:00,Market Street,Truck,11.2,67.2,Cloudy
2023-07-27,12:00,University Rd,Car,25.7,47.3,Clear
2023-06-30,10:15,University Rd,Car,34.5,22.9,Clear
2023-06-05,08:15,Old Town,Motorbike,35.7,35.4,Clear
2023-10-03,15:15,North Junction,Motorbike,19.3,81.7,Rain
2023-01-23,00:00,South Park,Motorbike,47.5,13.3,Clear
2023-10-21,19:45,Station Road,Car,25.0,62.6,Clear
2023-09-24,16:30,Market Street,Car,20.3,62.2,Fog
2023-04-02,00:30,University Rd,Bus,31.9,2.4,Clear
2023-04-25,11:45,South Park,Car,23.2,52.6,Rain
2023-08-02,21:45,Central Ave,Motorbike,43.8,19.7,Cloudy
2023-01-31,23:45,Harbor Blvd,Car,31.3,28.8,Clear
2023-08-16,00:30,Harbor Blvd,Car,30.5,35.2,Rain
2023-04-02,17:15,Old Town,Bus,12.3,63.9,Clear
2023-12-19,12:30,University Rd,Truck,25.4,30.6,Clear
2023-11-23,14:45,North Junction,Bus,20.7,26.7,Clear
2023-06-26,19:45,Industrial Zone,Motorbike,21.8,72.6,Clear
2023-01-20,04:45,Riverside,Car,41.4,15.6,Cloudy
2023-10-04,17:45,Harbor Blvd,Car,21.5,62.0,Clear
2023-09-15,22:30,Market Street,Motorbike,48.3,8.8,Rain
2023-04-29,08:45,Riverside,Auto-Rickshaw,9.8,63.7,Cloudy
2023-01-31,19:45,University Rd,Car,11.1,77.4,Clear
2023-11-10,18:15,North Junction,Motorbike,17.5,71.4,Clear
